# $Id: connectivity_table_C6_OSP_v4.dat,v 1.1 2007-05-10 19:13:26 jarguin Exp $					
# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
Y1406S1_LV_PP4_03A.WienerCh2	LV-PP4	PP4VDDAp	PP2_S22_Board6	LV-PP2	LV-PP2-B24
Y1406S1_LV_PP4_01B.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_Board2	LV-PP2	LV-PP2-B25
Y1406S1_LV_PP4_04C.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_BoardA	LV-PP2	LV-PP2-B26
Y1406S1_LV_PP4_04B.WienerCh4	LV-PP4	PP4VDDAp	PP2_S21_Board9	LV-PP2	LV-PP2-B27
Y1406S1_LV_PP4_01C.WienerCh4	LV-PP4	PP4VDDAp	PP2_S21_Board5	LV-PP2	LV-PP2-B28
Y1406S1_LV_PP4_03A.WienerCh4	LV-PP4	PP4VDDAp	PP2_S22_Board7	LV-PP2	LV-PP2-B29
Y1406S1_LV_PP4_03C.WienerCh4	LV-PP4	PP4VDDAp	PP2_S22_BoardB	LV-PP2	LV-PP2-B30
Y1406S1_LV_PP4_03C.WienerCh2	LV-PP4	PP4VDDAp	PP2_S22_BoardA	LV-PP2	LV-PP2-B31
Y1406S1_LV_PP4_02B.WienerCh2	LV-PP4	PP4VDDAp	PP2_S22_Board2	LV-PP2	LV-PP2-B32
Y1406S1_LV_PP4_01A.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_Board0	LV-PP2	LV-PP2-B33
Y1406S1_LV_PP4_04A.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_Board6	LV-PP2	LV-PP2-B34
